Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Pipistrellus pipistrellus,1,A3,06/07/2018,01:05:54,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:06:02,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:06:08,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:07:34,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:08:22,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:08:28,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:10:39,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:14:54,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,01:50:17,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,01:51:44,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,06/07/2018,02:00:32,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,06/07/2018,02:01:01,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,06/07/2018,02:01:13,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,06/07/2018,02:14:12,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,02:19:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,02:33:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,02:38:04,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,06/07/2018,02:46:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,02:50:40,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,02:53:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,03:00:59,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,03:10:50,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:03:33,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:28:03,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,05/07/2018,23:28:18,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,05/07/2018,23:28:23,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:28:35,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:28:39,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:31:45,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:38:10,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:38:27,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:38:35,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:38:39,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:38:42,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:39:00,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:39:10,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:39:14,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:39:29,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:39:31,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:39:40,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:39:45,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:39:50,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:40:27,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,05/07/2018,23:49:48,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,05/07/2018,23:51:10,55.15971667,-3.157716667
Nyctalus noctula,1,A3,05/07/2018,23:55:30,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,00:07:01,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,00:09:23,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,00:13:52,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,00:14:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,00:25:23,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,01:00:53,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,01:04:38,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,01:05:06,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,01:16:38,55.15971667,-3.157716667
Nyctalus spp.,1,A3,07/07/2018,01:16:47,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,01:16:51,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,01:16:58,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,01:28:16,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,01:38:40,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:09:09,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:14:00,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:14:15,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:14:23,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:14:29,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:14:40,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:14:47,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:15:03,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:15:13,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:28:16,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,02:28:29,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,02:30:46,55.15971667,-3.157716667
Nyctalus spp.,1,A3,07/07/2018,02:40:18,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,07/07/2018,02:43:44,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,03:12:56,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,07/07/2018,03:15:16,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:06:25,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:20:59,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:24:40,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:28:16,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:31:13,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:38:55,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:39:00,55.15971667,-3.157716667
Nyctalus noctula,1,A3,06/07/2018,23:39:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:42:03,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:47:53,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,06/07/2018,23:48:20,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:48:59,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,06/07/2018,23:49:10,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:50:30,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:56:18,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,06/07/2018,23:57:20,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,00:01:52,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,00:09:14,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,00:09:21,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,00:09:26,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,00:09:29,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,08/07/2018,00:13:39,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,08/07/2018,00:39:15,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,01:08:58,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,01:55:23,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,01:57:39,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:34:17,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:34:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:34:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:34:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:34:46,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:38:00,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:38:07,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,02:54:03,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:54:21,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:54:39,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:55:05,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,08/07/2018,02:55:05,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:55:18,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:55:53,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:56:13,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:57:27,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:58:13,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:59:14,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,02:59:17,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,03:06:48,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,03:06:52,55.15971667,-3.157716667
